CodiceScuola,Alunni,Hand,Classi,annoScolastico
CTEE008068,289,13,15,2021-2022
CTEE01701T,562,26,28,2021-2022
CTEE028018,87,4,5,2021-2022
CTEE86201P,171,25,9,2021-2022
CTEE86203R,145,18,8,2021-2022
CTEE86301E,185,42,10,2021-2022
CTEE86303L,273,33,14,2021-2022
CTEE86401A,204,26,12,2021-2022
CTEE86402B,72,10,5,2021-2022
CTEE86403C,163,14,9,2021-2022
CTEE86701T,152,23,8,2021-2022
CTEE867041,66,8,5,2021-2022
CTEE867052,67,21,4,2021-2022
CTEE867074,70,11,5,2021-2022
CTEE867085,32,1,2,2021-2022
CTEE87501R,382,28,20,2021-2022
CTEE87502T,75,5,5,2021-2022
CTEE880018,122,17,7,2021-2022
CTEE880029,87,17,5,2021-2022
CTEE88003A,101,15,5,2021-2022
CTEE88004B,83,6,5,2021-2022
CTEE881025,30,1,2,2021-2022
CTEE881036,203,25,12,2021-2022
CTEE881047,174,23,11,2021-2022
CTEE881058,35,2,2,2021-2022
CTEE88501B,232,5,11,2021-2022
CTEE88503D,303,12,13,2021-2022
CTEE886017,15,0,1,2021-2022
CTEE886028,132,22,8,2021-2022
CTEE886039,329,24,18,2021-2022
CTEE887035,202,14,10,2021-2022
CTEE887046,72,10,5,2021-2022
CTEE887057,76,11,5,2021-2022
CTEE887079,141,8,7,2021-2022
CTEE89201E,316,21,16,2021-2022
CTEE894016,239,32,14,2021-2022
CTEE894027,91,6,5,2021-2022
CTEE894038,92,5,5,2021-2022
CTEE89601T,192,29,11,2021-2022
CTEE89602V,40,7,2,2021-2022
CTEE89603X,106,25,6,2021-2022
CTEE89701N,173,9,10,2021-2022
CTEE89703Q,107,6,6,2021-2022
CTEE89704R,119,9,7,2021-2022
CTEE89705T,202,17,11,2021-2022
CTEE89801D,195,16,9,2021-2022
CTEE89802E,90,14,5,2021-2022
CTEE89803G,130,14,9,2021-2022
CTEE89804L,100,0,5,2021-2022
CTEE89805N,60,0,2,2021-2022
CTEE89806P,60,0,2,2021-2022
CTEE899019,184,21,10,2021-2022
CTEE89902A,201,26,11,2021-2022
CTEE8A6011,521,34,26,2021-2022
CTEE8A6022,45,3,2,2021-2022
CTEE8A701R,263,23,15,2021-2022
CTEE8A801L,144,13,8,2021-2022
CTEE8A802N,463,21,21,2021-2022
CTEE8A803P,205,11,10,2021-2022
CTEE8A901C,850,39,36,2021-2022
CTEE8AB01N,115,4,6,2021-2022
CTEE8AB02P,78,5,5,2021-2022
